Time(seconds),ttcp-t-send-q,ttcp-r-recv-q
1,362080,257288
2,344560,304320
3,362080,751364
4,264260,717308
5,264260,717308
6,402960,768684
7,416100,785308
8,405880,755540
9,341640,882212
10,341640,882212
11,416100,868428
12,264260,889396
13,264260,889396
14,346020,869820
15,408800,835764
16,408800,835764
17,267180,846596
18,287620,883436
19,337260,862412
20,391280,870348
21,391280,870348
22,264260,866700
23,264260,866700
24,414640,868788
25,414640,868788
26,297840,855004
27,297840,855004
28,313900,868732
29,313900,868732
30,360620,850604
31,404420,836820
32,391280,879508
33,273020,867172
34,273020,867172
35,274480,855476
36,274480,855476
37,360620,859764
38,411720,838740
39,274480,843780
40,319740,861852
41,357700,876220
42,357700,876220
43,395660,868228
44,395660,868228
45,417560,876164
46,348940,813148
47,348940,813148
48,405880,850044
49,405880,850044
50,274480,850740
51,274480,850740
52,401500,846340
53,401500,846340
54,278860,838348
55,338720,840492
56,391280,849876
57,391280,849876
58,400040,869396
59,400040,869396
60,283240,885268
61,283240,885268
62,351860,878724
63,351860,878724
64,388360,870732
65,414640,874324
66,335800,880756
67,335800,880756
68,338720,841604
69,338720,841604
70,401500,839404
71,401500,839404
72,270100,840100
73,175241,834252
74,29241,847980
75,29241,847980
76,0,655361
77,0,655361
78,0,393217
79,0,393217
80,0,262145
81,0,262145
